module.exports = {
  Transaction Date,Transaction Type,Sort Code,Account Number,Transaction Description,Debit Amount,Credit Amount,Balance
  30/12/2016,DD,'00-00-00,111222333,PAYPAL PAYMENT,35.74,,11816.71
  30/12/2016,DD,'00-00-00,111222333,PAYPAL PAYMENT,11.51,,11852.45
  23/12/2016,DEB,'00-00-00,111222333,ASDA  PETROL UPT46,52.10,,11863.96
  22/12/2016,DEB,'00-00-00,111222333,MCDONALDS,5.37,,11916.06
  22/12/2016,BGC,'00-00-00,111222333,SOME WORK,,1399.64,11921.43
  21/12/2016,DD,'00-00-00,111222333,PAYPAL PAYMENT,71.85,,10521.79
  21/12/2016,DD,'00-00-00,111222333,PAYPAL PAYMENT,26.00,,10593.64
  21/12/2016,DD,'00-00-00,111222333,PAYPAL PAYMENT,9.99,,10619.64
  20/12/2016,TFR,'00-00-00,111222333,RENT,332.00,,10629.63
  20/12/2016,DEB,'00-00-00,111222333,MCDONALDS,7.68,,10961.63
  19/12/2016,DEB,'00-00-00,111222333,GIFFGAFF.COM,10.00,,10969.31
  19/12/2016,DEB,'00-00-00,111222333,MCDONALDS,8.36,,10979.31
  19/12/2016,DEB,'00-00-00,111222333,MCDONALDS,3.49,,10987.67
  19/12/2016,DEB,'00-00-00,111222333,ASDA  STORES,3.05,,10991.16
  19/12/2016,DEB,'00-00-00,111222333,TESCO STORES 2898,4.30,,10994.21
  16/12/2016,DD,'00-00-00,111222333,PAYPAL PAYMENT,48.35,,10998.51
  15/12/2016,DEB,'00-00-00,111222333,ROYAL MAIL CHARGES,21.38,,11046.86
  15/12/2016,DEB,'00-00-00,111222333,TESCO STORES 2898,3.00,,11068.24
  15/12/2016,DEB,'00-00-00,111222333,Wizz Air Hu RYTG2D,21.50,,11071.24
  14/12/2016,DEB,'00-00-00,111222333,ASDA  STORES,31.49,,11092.74
  14/12/2016,DEB,'00-00-00,111222333,TESCO STORES 2898,3.70,,11124.23
  14/12/2016,DD,'00-00-00,111222333,PAYPAL PAYMENT,28.98,,11127.93
  12/12/2016,DEB,'00-00-00,111222333,TESCO STORE 2885,4.28,,11156.91
  12/12/2016,DEB,'00-00-00,111222333,MCDONALDS,9.07,,11161.19
  09/12/2016,DEB,'00-00-00,111222333,TESCO STORES 2898,4.55,,11170.26
  09/12/2016,TFR,'00-00-00,111222333,HUE HUE,,3780.00,11174.81
  08/12/2016,DEB,'00-00-00,111222333,AMAZON UK RETAIL A,79.49,,7394.81
  08/12/2016,DEB,'00-00-00,111222333,MCDONALDS,9.26,,7474.30
  08/12/2016,DEB,'00-00-00,111222333,SAINSBURYS S/MKTS,1.65,,7483.56
  08/12/2016,BGC,'00-00-00,111222333,SOME WORK,,1547.16,7485.21
  07/12/2016,DEB,'00-00-00,111222333,TESCO STORES 2898,3.00,,5938.05
  05/12/2016,DEB,'00-00-00,111222333,TESCO STORE 2898,27.64,,5941.05
